0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
47   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /usr/local/Cellar/solr/4.8.1/libexec/example/contexts at interval 0
67   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /usr/local/Cellar/solr/4.8.1/libexec/example/contexts/solr-jetty-context.xml
2012 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2130 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
2159 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
2160 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/ankittharwani/Work/os/solr/data
2170 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/ankittharwani/Work/os/solr/data/'
2418 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /Users/ankittharwani/Work/os/solr/data/solr.xml
2731 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1292040526
2733 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/Users/ankittharwani/Work/os/solr/data/]
2763 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2764 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: 
2776 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2776 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2777 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2781 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2782 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2782 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2783 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
3045 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
3047 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
3049 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
3222 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/ankittharwani/Work/os/solr/data/core0/'
3225 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/ankittharwani/Work/os/solr/data/bdddatalineage/'
3222 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/ankittharwani/Work/os/solr/data/core1/'
3340 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_48
3344 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_48
3372 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_48
3480 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
3480 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
3481 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
3513 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
3539 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.schema.IndexSchema  – [core1] Schema name=example core one
3541 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
3541 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
3574 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [core0] Schema name=example core zero
3579 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.schema.IndexSchema  – [bdddatalineage] Schema name=bdddatalineage
3642 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is name
3643 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
3645 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is tDb
3647 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
3648 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
3649 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is name
3651 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'bdddatalineage' using configuration from instancedir /Users/ankittharwani/Work/os/solr/data/bdddatalineage/
3652 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
3654 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
3656 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'core0' using configuration from instancedir /Users/ankittharwani/Work/os/solr/data/core0/
3656 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
3657 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'core1' using configuration from instancedir /Users/ankittharwani/Work/os/solr/data/core1/
3692 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
3692 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
3695 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
3727 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – [core0] Opening new SolrCore at /Users/ankittharwani/Work/os/solr/data/core0/, dataDir=/Users/ankittharwani/Work/os/solr/data/core0/data/
3728 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: core0
3727 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] Opening new SolrCore at /Users/ankittharwani/Work/os/solr/data/bdddatalineage/, dataDir=/Users/ankittharwani/Work/os/solr/data/bdddatalineage/data/
